人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
154,田中 貢太郎,52254,鼓の音,新字新仮名,,川山隆,門田裕志,公開,2012-07-25,日本怪談大全　第二巻　幽霊の館,国書刊行会,1995（平成7）年8月2日初版第1刷,1995（平成7）年8月2日初版第1刷
129,森 鴎外,45271,夏目漱石論,新字新仮名,,大田一,noriko saito,公開,2005-08-28,歴史其儘と歴史離れ　森鴎外全集14,ちくま文庫、筑摩書房,1996（平成8）年8月22日第1刷,1996（平成8）年8月22日第1刷
9,ドイル アーサー・コナン,54913,ライギット・パズル,新字新仮名,大久保 ゆう、三上 於菟吉,大久保ゆう,,公開,2012-04-05,,,,
52,紫式部 ,5064,源氏物語 49 総角,新字新仮名,与謝野 晶子,上田英代,kompass,公開,2004-05-15,全訳源氏物語　下巻,角川文庫、角川書店,1995（平成7）年5月30日40版,2002（平成14）年4月10日44版 
20,渡辺 温,2571,アンドロギュノスの裔,新字新仮名,,森下祐行,もりみつじゅんじ,公開,2001-10-30,アンドロギュノスの裔,薔薇十字社,,
1779,江戸川 乱歩,57405,黒蜥蜴,新字新仮名,,sogo,大久保ゆう,公開,2016-10-21,黒蜥蜴,江戸川乱歩推理文庫、講談社,1987（昭和62）年9月25日第1刷,1987（昭和62）年9月25日第1刷
106,北原 白秋,55757,庭園の雨,新字旧仮名,,岡村和彦,フクポー,公開,2016-11-13,白秋全集　3,岩波書店,1985（昭和60）年5月7日,1985(昭和60)年5月7日
42,寺田 寅彦,42213,昭和二年の二科会と美術院,新字新仮名,,Cyobirin,浅原庸子,公開,2005-10-14,寺田寅彦全集　第四巻,岩波書店,1961（昭和36）年1月7日第1刷,　
67,萩原 朔太郎,53651,敵,旧字旧仮名,,kompass,小林繁雄,公開,2011-08-31,萩原朔太郎全集　第三卷,筑摩書房,1986（昭和61）年12月10日補訂版1刷,1986（昭和61）年12月10日補訂版1刷
255,国枝 史郎,47251,御存与太話,新字新仮名,,門田裕志,きゅうり,公開,2019-04-01,国枝史郎探偵小説全集　全一巻,作品社,2005（平成17）年9月15日第1刷,2005（平成17）年9月15日第1刷
248,上司 小剣,51227,ごりがん,旧字旧仮名,,川山隆,門田裕志,公開,2011-06-21,鱧の皮,岩波文庫、岩波書店,2009（平成21）年2月19日第4刷,2009（平成21）年2月19日第4刷
